Generation,Mean_Fitness,Std_Mean_Fitness,Max_Fitness,Std_Max_Fitness
1,-3.299753330595389,0.6904263290620019,32.26797988893194,10.954859805730733
2,0.547802954715353,1.6561444568394825,36.779698444384145,7.709459853857204
3,5.653781610853183,2.5155341575757313,43.09939531177086,10.02769700607091
4,9.55316375845891,3.0864384174591515,49.86849411780515,7.891189892717011
5,11.983994909555184,3.315510126762375,56.725089459574654,13.120608153484545
6,14.10638903799305,3.6070921933047515,66.67481054491195,8.34853981628269
7,19.032755778151756,3.602019860801998,72.87804223064957,7.308016136351754
8,21.654480330022785,3.6192471914019624,75.6657545127183,7.080807463392197
9,24.106761358719716,3.4989736936192952,76.42203225515681,6.870168217909146
10,27.498930505881027,4.202559405933303,80.3785910196736,5.871733320518918
11,28.801036549160887,4.00730631616397,81.10914344188748,5.968455547535177
12,28.843129710240913,4.903955526647893,81.87563872590998,6.025583154875167
13,30.528295600863167,5.514279524784808,82.83686453523244,5.149342744388938
14,31.047616103576978,4.6878178990344175,83.67015511114661,5.054205753426828
15,33.524683434187,5.186070156637448,85.25315185847994,2.6669493514490736
16,33.53127586777599,5.433328711231047,85.53722323152589,2.7035935311734476
17,34.36791714936601,6.7542845845003034,86.51017648773671,1.1619230482468514
18,34.58868581762192,5.930616648366073,86.63117315935689,1.209158538270196
19,34.80638144374978,6.226902058129442,86.67585885616657,1.2217298851589806
20,35.214329615065886,5.764491208885878,86.91456252967976,0.699993921345971
21,35.06861153351707,5.864324001464671,87.11387230030991,0.8996942905174594
22,34.608182406991446,5.621001845549052,87.31861438854229,0.9327206620504417
23,34.96408956102236,5.96919415345437,87.38767987507126,0.9122233244299591
24,35.874520807403016,5.1895361490564795,87.38767987507126,0.9122233244299591
25,35.505980711670205,6.751279872449765,87.38767987507126,0.9122233244299591
26,37.07626396466465,6.016488634813239,87.443625593825,0.828506102978786
27,37.29286556988373,5.430270062396933,87.45005468189785,0.8329585839360352
28,37.346144215943795,5.377849007024398,87.45600160419106,0.8431781722432887
29,38.53196470409124,3.2568221459574627,87.45600160419106,0.8431781722432887
30,37.82620086083448,3.998381689627454,87.47960537583329,0.7963854532621992
